Time,Reltime,Treflect
9:23:06,66.8,21.79872
9:23:06,66.9,21.79872
9:23:06,67,21.79872
9:23:07,67.1,21.79872
9:23:07,67.2,21.79872
9:23:07,67.3,21.79872
9:23:07,67.4,21.79872
9:23:07,67.5,21.79872
9:23:07,67.6,21.86746
9:23:07,67.7,21.80766
9:23:07,67.8,21.8112
9:23:07,67.9,21.83415
9:23:07,68,21.85176
9:23:08,68.1,21.85807
9:23:08,68.2,21.86433
9:23:08,68.3,21.8084
9:23:08,68.4,21.79041
9:23:08,68.5,21.86065
9:23:08,68.6,21.87662
9:23:08,68.7,21.83001
9:23:08,68.8,21.81612
9:23:08,68.9,21.80012
9:23:08,69,21.88573
9:23:09,69.1,21.86172
9:23:09,69.2,21.88927
9:23:09,69.3,21.92064
9:23:09,69.4,21.9111
9:23:09,69.5,21.89197
9:23:09,69.6,21.92225
9:23:09,69.7,21.90709
9:23:09,69.8,21.87074
9:23:09,69.9,21.89145
9:23:09,70,21.86267
9:23:10,70.1,21.89386
9:23:10,70.2,21.90029
9:23:10,70.3,21.88544
9:23:10,70.4,21.87974
9:23:10,70.5,21.91373
9:23:10,70.6,21.91902
9:23:10,70.7,21.8999
9:23:10,70.8,21.87538
9:23:10,70.9,21.90878
9:23:10,71,21.92868
9:23:11,71.1,21.87178
9:23:11,71.2,21.86292
9:23:11,71.3,21.91238
9:23:11,71.4,21.92755
9:23:11,71.5,21.8912
9:23:11,71.6,21.89467
9:23:11,71.7,21.85958
9:23:11,71.8,21.84075
9:23:11,71.9,21.84381
9:23:11,72,21.85104
9:23:12,72.1,21.82012
9:23:12,72.2,21.81885
9:23:12,72.3,21.85195
9:23:12,72.4,21.82539
9:23:12,72.5,21.86401
9:23:12,72.6,21.8347
9:23:12,72.7,21.81222
9:23:12,72.8,21.79958
9:23:12,72.9,21.81369
9:23:12,73,21.84173
9:23:13,73.1,21.84433
9:23:13,73.2,21.82305
9:23:13,73.3,21.78453
9:23:13,73.4,21.77635
9:23:13,73.5,21.87278
9:23:13,73.6,21.81422
9:23:13,73.7,21.84159
9:23:13,73.8,21.8356
9:23:13,73.9,21.79308
9:23:13,74,21.76633
9:23:14,74.1,21.81722
9:23:14,74.2,21.78554
9:23:14,74.3,21.78494
9:23:14,74.4,21.78126
9:23:14,74.5,21.77606
9:23:14,74.6,21.81
9:23:14,74.7,21.78555
9:23:14,74.8,21.76978
9:23:14,74.9,21.82237
9:23:14,75,21.77921
9:23:15,75.1,21.7828
9:23:15,75.2,21.76913
9:23:15,75.3,21.77696
9:23:15,75.4,21.80953
9:23:15,75.5,21.80344
9:23:15,75.6,21.84295
9:23:15,75.7,21.83179
9:23:15,75.8,21.80115
9:23:15,75.9,21.78041
9:23:15,76,21.78942
9:23:16,76.1,21.76296
9:23:16,76.2,21.76288
9:23:16,76.3,21.76198
9:23:16,76.4,21.78719
9:23:16,76.5,21.80157
9:23:16,76.6,21.82664
9:23:16,76.7,21.79006
9:23:16,76.8,21.7747
9:23:16,76.9,21.77339
9:23:16,77,21.76966
9:23:17,77.1,21.79651
9:23:17,77.2,21.83018
9:23:17,77.3,21.79697
9:23:17,77.4,21.82082
9:23:17,77.5,21.79574
9:23:17,77.6,21.86954
9:23:17,77.7,21.8172
9:23:17,77.8,21.80427
9:23:17,77.9,21.82665
9:23:17,78,21.80756
9:23:18,78.1,21.8278
9:23:18,78.2,21.82516
9:23:18,78.3,21.83305
9:23:18,78.4,21.81072
9:23:18,78.5,21.83193
9:23:18,78.6,21.8254
9:23:18,78.7,21.85555
9:23:18,78.8,21.80894
9:23:18,78.9,21.78355
9:23:18,79,21.78415
9:23:19,79.1,21.83496
9:23:19,79.2,21.83742
9:23:19,79.3,21.82045
9:23:19,79.4,21.82421
9:23:19,79.5,21.80066
9:23:19,79.6,21.80003
9:23:19,79.7,21.84307
9:23:19,79.8,21.88762
9:23:19,79.9,21.84134
9:23:19,80,21.81976
9:23:20,80.1,21.84682
9:23:20,80.2,21.87796
9:23:20,80.3,21.86157
9:23:20,80.4,21.83225
9:23:20,80.5,21.82107
9:23:20,80.6,21.82949
9:23:20,80.7,21.82497
9:23:20,80.8,21.83521
9:23:20,80.9,21.79865
9:23:20,81,21.80745
9:23:21,81.1,21.83005
9:23:21,81.2,21.8273
9:23:21,81.3,21.77168
9:23:21,81.4,21.82016
9:23:21,81.5,21.79659
9:23:21,81.6,21.79095
9:23:21,81.7,21.7675
9:23:21,81.8,21.77326
9:23:21,81.9,21.80696
9:23:21,82,21.81408
9:23:22,82.1,21.80849
9:23:22,82.2,21.79915
9:23:22,82.3,21.81392
9:23:22,82.4,21.84134
9:23:22,82.5,21.83656
9:23:22,82.6,21.82418
9:23:22,82.7,21.79723
9:23:22,82.8,21.83295
9:23:22,82.9,21.839
9:23:22,83,21.78737
9:23:23,83.1,21.78564
9:23:23,83.2,21.77421
9:23:23,83.3,21.75741
9:23:23,83.4,21.74965
9:23:23,83.5,21.76642
9:23:23,83.6,21.72853
9:23:23,83.7,21.6976
9:23:23,83.8,21.69224
9:23:23,83.9,21.67303
9:23:23,84,21.68653
9:23:24,84.1,21.71544
9:23:24,84.2,21.75374
9:23:24,84.3,21.73142
9:23:24,84.4,21.709
9:23:24,84.5,21.6988
9:23:24,84.6,21.69714
9:23:24,84.7,21.711
9:23:24,84.8,21.7152
9:23:24,84.9,21.72741
9:23:24,85,21.71782
9:23:25,85.1,21.77363
9:23:25,85.2,21.73582
9:23:25,85.3,21.71666
9:23:25,85.4,21.69478
9:23:25,85.5,21.68876
9:23:25,85.6,21.74145
9:23:25,85.7,21.75479
9:23:25,85.8,21.7363
9:23:25,85.9,21.76399
9:23:25,86,21.71373
